instance,submission,model_name,A,B,C,D,E,F,raw_total,total_score,evidence_confidence,caps_or_flags,resolved
astropy__astropy-13977,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,4.5,4.0,11.0,1.5,2.0,5.0,28.0,28.0,low,NO_BASELINE;NO_POST_FIX_TEST,False
astropy__astropy-13977,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12.0,11.5,20.0,15.0,6.0,6.5,71.0,71.0,medium,MAIN_CASE_ONLY,False
astropy__astropy-13977,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12.5,11,20.5,22,8,8.5,82.5,82.5,medium,,False
astropy__astropy-13977,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11,11,17,19,8,7,73,73,medium,,True
astropy__astropy-14182,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,11,9.5,20,15,7,8.5,71,71,low,ENV_CONTAMINATION;PATCH_MISMATCH,True
astropy__astropy-14182,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,11,11,18,11,7,4.5,62.5,62.5,medium,NO_BASELINE,True
astropy__astropy-14182,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,12,14,22,22,8,8,86,86,high,,False
astropy__astropy-14182,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,7.5,9.5,17.0,4.0,7.5,8.0,53.5,53.5,medium,NO_BASELINE;NO_POST_FIX_TEST,False
astropy__astropy-14182,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,10,11,19,15,6,7,68,68,medium,NO_BASELINE;PIPE_MASKED,True
astropy__astropy-14182,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,9,10,19,4,6,9,57,57,medium,NO_BASELINE;NO_POST_FIX_TEST,True
astropy__astropy-14182,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,5,5,10,2,4,7,33,33,low,NO_BASELINE;NO_POST_FIX_TEST;WRONG_LAYER,False
astropy__astropy-14182,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11,12,21,16,7,8,75,75,medium,NO_BASELINE,False
astropy__astropy-14182,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,13,13,21.5,20,7.5,8,83,83,medium,,True
astropy__astropy-14182,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11.5,13,22.5,19.5,9.5,9,85.0,85.0,medium,NO_BASELINE,True
astropy__astropy-14365,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,11.5,12,20,5,5.5,7.5,61.5,61.5,medium,PIPE_MASKED;NO_POST_FIX_TEST,False
astropy__astropy-14365,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,11.5,13,22,10,8,6.5,77.5,71,medium,,False
astropy__astropy-14365,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,12,11,20,7,4,7,61,61,medium,NO_BASELINE,True
astropy__astropy-14365,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,9.0,8.0,13.0,9.0,6.0,3.0,48.0,48.0,medium,NO_BASELINE;MAIN_CASE_ONLY,True
astropy__astropy-14365,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,13,13,24,19,6,7,82,82,medium,NO_BASELINE,False
astropy__astropy-14365,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12,13,21,19,9,8,82,82,medium,,False
astropy__astropy-14365,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,11,12,18,5,7,7,60,60,medium,NO_BASELINE;NO_POST_FIX_TEST;MAIN_CASE_ONLY,False
astropy__astropy-14365,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,8,10,19,7,7,8,59,59,medium,PIPE_MASKED,False
astropy__astropy-14365,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,14,15,23,21,8.5,9.5,91,91,medium,,True
astropy__astropy-14365,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,11,11,22,14,8,9,75,75,medium,NO_BASELINE,True
django__django-10973,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,10.5,10,20,11,8,9,68.5,68.5,medium,NO_BASELINE,True
django__django-10973,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,10,11,21,10,6,7,65,65,medium,NO_BASELINE,True
django__django-10973,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,10,6,18,5,7,7,53,53,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-10973,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,11,12,20,10,9,8,70,70,medium,,True
django__django-10973,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,12,11.5,23,10,5,7.5,73.0,69.0,medium,NO_BASELINE,False
django__django-10973,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,10,9,21,5,7,8,60,60,medium,NO_BASELINE,False
django__django-10973,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,11,12,22,7.5,5.5,7,65,65,medium,NO_BASELINE;NO_POST_FIX_TEST;PIPE_MASKED,False
django__django-10973,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11,10,22,11,6.5,7,67.5,67.5,medium,NO_BASELINE;PIPE_MASKED,False
django__django-10973,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,10.0,10.0,19.0,4.0,6.5,7.5,57.0,57.0,medium,NO_BASELINE,True
django__django-10973,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,10,10,21,12,7,9,69,69,medium,NO_POST_FIX_TEST,False
django__django-11138,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,10.5,10,17,12,8,8,65.5,65.5,medium,NO_BASELINE,True
django__django-11138,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,6,7,5,2,3,3,26,26,medium,NO_BASELINE;MAIN_CASE_ONLY;NO_POST_FIX_TEST;KNOWN_COUNTEREXAMPLE,False
django__django-11138,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,10,11,19,17,7,7,71,71,medium,NO_BASELINE,True
django__django-11138,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,11,10,19,5,6,6,66,57,medium,NO_POST_FIX_TEST,True
django__django-11138,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,9,12,14,9,7,7,58,58,medium,NO_BASELINE;MAIN_CASE_ONLY,True
django__django-11138,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,10,11,19,6,8,8,62,62,medium,NO_BASELINE,True
django__django-11138,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,9,8,17,1,4,7,46,46,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-11138,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11,11,19.5,7,7.5,7.5,63.5,63.5,medium,NO_BASELINE,True
django__django-11138,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,10.5,8,11,8,7,8,52.5,52.5,medium,NO_BASELINE;MAIN_CASE_ONLY,False
django__django-11138,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,10,10,18,7,7,8,60,60,medium,NO_BASELINE,True
django__django-11265,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,11,13,3,13,7,2,54,49,low,EMPTY_PATCH;NO_POST_FIX_TEST;KNOWN_COUNTEREXAMPLE,False
django__django-11265,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,10,11,16,13,6.5,6.5,63,63,medium,KNOWN_COUNTEREXAMPLE;MAIN_CASE_ONLY,False
django__django-11265,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,12,12,16,10,7,8,65,65,medium,,False
django__django-11265,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,11.5,13,17,14,7.5,9,72,72,medium,NO_BASELINE;KNOWN_COUNTEREXAMPLE,False
django__django-11265,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,12.5,13.0,18.5,20.0,8.0,8.0,80.0,80.0,medium,,True
django__django-11265,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,9.0,11.5,17.0,16.0,7.0,7.5,68.0,68.0,medium,NO_BASELINE;MAIN_CASE_ONLY,True
django__django-11265,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,5,6,10,1,5,6,33,33,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-11265,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11.5,12.5,19.5,17,8,9,77.5,77.5,medium,,True
django__django-11265,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12.0,13.0,23.0,21.0,7.0,9.0,85.0,85.0,medium,,False
django__django-11265,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,12,12,15,19,8,9,75,75,medium,,True
django__django-11433,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,10.5,10,19,17.5,6.5,6.5,70,70,medium,,True
django__django-11433,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,12,18,20,7,7,76,76,medium,,True
django__django-11433,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,12,13,20.5,21.5,8.5,7.5,83,83,medium,,True
django__django-11433,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,11,12,19,20,7,5,74,74,medium,,False
django__django-11433,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,10,10,24,23,7,7.5,81.5,81.5,medium,,False
django__django-11433,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12.5,14,22,20.5,10,9,88,88,medium,,True
django__django-11433,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,7,7,15,2,5,6,42,42,low,NO_BASELINE;NO_POST_FIX_TEST;MAIN_CASE_ONLY,False
django__django-11433,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11.0,11.5,16.0,18.5,8.0,8.0,73.0,73.0,medium,,False
django__django-11433,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,9,7,6,8,7,7,44,44,medium,KNOWN_COUNTEREXAMPLE;MAIN_CASE_ONLY,False
django__django-11433,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,9,10,13,12,6,7,57,57,medium,KNOWN_COUNTEREXAMPLE,False
django__django-11532,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12,11.5,21.5,21,8.5,8.5,83,83,medium,,True
django__django-11532,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12.0,14.0,23.0,22.0,9.0,8.0,88.0,88.0,medium,,False
django__django-11532,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,11.5,12,20.5,21,7.5,8,80.5,80.5,medium,,True
django__django-11532,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,12,19,20,9,8,80,80,high,,True
django__django-11532,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,11,14,23,20,6,9,83,83,high,,True
django__django-11532,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,9.5,9.5,17.5,13.0,8.5,7.5,65.5,65.5,medium,NO_BASELINE;MAIN_CASE_ONLY,True
django__django-11532,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,7.0,10.0,19.0,12.0,7.5,8.5,64.0,64.0,medium,NO_BASELINE;MAIN_CASE_ONLY,False
django__django-11532,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12,12,19,17,8,7,75,75,medium,NO_BASELINE,True
django__django-11532,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,9,10,6,8,8,9,63,50,medium,KNOWN_COUNTEREXAMPLE;MAIN_CASE_ONLY,True
django__django-11532,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,12.0,12.0,22.0,14.0,8.0,9.0,77.0,77.0,medium,,True
django__django-11728,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12.5,12,23.5,17.5,8,7.5,81,81,medium,,True
django__django-11728,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,13,14,18,14,7,7,76,73,medium,KNOWN_COUNTEREXAMPLE,True
django__django-11728,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,13.0,13.0,23.0,16.0,8.5,9.0,82.5,82.5,medium,,True
django__django-11728,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,13.5,13.5,21.5,17.5,8.0,7.0,81.0,81.0,medium,,True
django__django-11728,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,13,13,23,23,7,7,86,86,high,,True
django__django-11728,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,13.5,12.5,23.0,20.0,8.0,10.0,87.0,87.0,medium,NO_BASELINE,True
django__django-11728,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,10,12,18,7,8,4,61,59,medium,PATCH_MISMATCH,False
django__django-11728,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,13.0,12.0,22.0,20.0,9.0,9.0,85.0,85.0,medium,,False
django__django-11728,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,13,14,21,16,8,8,80,80,medium,,False
django__django-11728,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,12.5,13,22,21,8.5,8.5,85.5,85.5,high,,True
django__django-11815,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,11.5,10.5,17.5,13.5,7.5,9.0,69.5,69.5,medium,NO_POST_FIX_TEST,False
django__django-11815,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,13.0,13.0,22.0,17.0,8.0,7.0,80.0,80.0,medium,,True
django__django-11815,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,11,10.5,20,12.5,7,8,69,69,medium,NO_BASELINE,True
django__django-11815,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,12,19,20,7,7,77,77,medium,,False
django__django-11815,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,9.0,10.0,12.0,12.0,4.0,6.0,53.0,53.0,medium,KNOWN_COUNTEREXAMPLE;PATCH_MISMATCH,True
django__django-11815,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,11,12,22,13,8,8,74,74,medium,,True
django__django-11815,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,9.0,8.0,20.5,2.5,4.5,6.5,51.0,51.0,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-11815,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,10.5,10.5,21.5,18.5,6.5,6,73.5,73.5,low,NO_POST_FIX_TEST;PATCH_MISMATCH,True
django__django-11815,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,11.0,11.5,20.5,16.0,8.4,9.2,76.6,76.6,medium,,True
django__django-11815,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,9,8.5,14,8,6,4,52.5,49.5,medium,KNOWN_COUNTEREXAMPLE;PATCH_MISMATCH;MAIN_CASE_ONLY,False
django__django-11964,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,10,13,17,13,8,7,68,68,medium,MAIN_CASE_ONLY;PIPE_MASKED,True
django__django-11964,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,13,13,17,18,8,7,76,76,medium,,False
django__django-11964,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,11.5,12,18,21,8,8.5,79.0,79.0,medium,,False
django__django-11964,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,10,11,19,20,7.5,6,73.5,73.5,medium,,True
django__django-11964,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,12,13,19,22,6,8.5,80.5,80.5,medium,,False
django__django-11964,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,9,9,18,8,6,6,56,56,medium,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-11964,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,6,4,18.5,0,3.5,6.5,38.5,38.5,low,NO_BASELINE;NO_POST_FIX_TEST,True
django__django-11964,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11,11.5,17.5,16,7,5.5,68.5,68.5,medium,NO_BASELINE,False
django__django-11964,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,15,15,24,23,9,9,95,95,high,,False
django__django-11964,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,12,12,23,17,8,5.5,77.5,77.5,medium,NO_BASELINE,True
django__django-12125,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,11,11.5,17.5,20,8.5,8,76.5,76.5,medium,NO_BASELINE,True
django__django-12125,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,13,18,19.5,8,6,76.5,76.5,high,,True
django__django-12125,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,13.5,13,19.5,20,8,8,82,82,high,,True
django__django-12125,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,12,20,18.5,8.5,8.5,79.5,79.5,medium,,True
django__django-12125,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,12,11,18,18,9,8,76,76,medium,,True
django__django-12125,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,10,11,17,9,8,7,62,62,medium,MAIN_CASE_ONLY,True
django__django-12125,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,6.0,7.5,5.0,2.0,5.5,5.0,31.0,31.0,medium,NO_POST_FIX_TEST;KNOWN_COUNTEREXAMPLE;MAIN_CASE_ONLY,False
django__django-12125,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,9,9,14,14,8,9,64,63,medium,MAIN_CASE_ONLY;KNOWN_COUNTEREXAMPLE,False
django__django-12125,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12,13,20,21,8.5,8,82.5,82.5,medium,,True
django__django-12125,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,10.5,12,20.5,15,8.5,9,75.5,75.5,medium,NO_BASELINE,True
django__django-12663,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,7,9,6,8,7,6,43,43,medium,NO_BASELINE;MAIN_CASE_ONLY;KNOWN_COUNTEREXAMPLE,False
django__django-12663,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,7.0,6.5,6.0,8.0,6.5,5.5,44.0,39.5,medium,KNOWN_COUNTEREXAMPLE;WRONG_LAYER;NO_POST_FIX_TEST;PIPE_MASKED,False
django__django-12663,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,8.0,7.0,3.0,6.0,7.0,2.0,39.0,33.0,low,EMPTY_PATCH;KNOWN_COUNTEREXAMPLE;NO_POST_FIX_TEST,False
django__django-12663,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,9,10,14,12,6,5.5,56.5,56.5,medium,MAIN_CASE_ONLY,True
django__django-12663,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,9.0,8.0,11.0,12.0,3.5,7.0,50.5,50.5,medium,MAIN_CASE_ONLY,True
django__django-12663,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,9.8,11.5,17.0,13.5,8.0,7.5,67.3,67.3,medium,,True
django__django-12663,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,4,3.5,10,1,2,4.5,25,25,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-12663,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,10.5,10.5,17,18,8,8,72,72,medium,MAIN_CASE_ONLY,True
django__django-12663,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,12,12,20,17,7,7,75,75,medium,,True
django__django-12663,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,9,10,16,17,8,8,68,68,medium,,True
django__django-13023,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12,12,22,17,8,9,80,80,medium,NO_BASELINE,True
django__django-13023,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,12,22,19,8,7,80,80,medium,NO_BASELINE,True
django__django-13023,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,10,11,24,13,9,9,76,76,medium,NO_BASELINE;MAIN_CASE_ONLY,True
django__django-13023,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12.5,12.5,20.5,19.5,7,9,81.0,81.0,medium,,True
django__django-13023,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,12.5,13.0,24.5,17.5,8.5,8.0,84.0,84.0,medium,NO_BASELINE,True
django__django-13023,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,13,14,24,16,9,9,85,85,medium,,False
django__django-13023,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,10.0,8.0,21.0,1.0,4.5,7.5,52.0,52.0,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-13023,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,12,12.5,23,22,9,8.5,87,87,medium,,True
django__django-13023,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,14,14,23,22,8,9,90,90,high,,True
django__django-13023,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,15,15,24,20,9,9,92,92,medium,,True
django__django-13112,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,11,12,20,20,8,8,79,79,medium,,True
django__django-13112,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,8,9,21,15,6,7,66,66,medium,NO_BASELINE,True
django__django-13112,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,11,12.5,20.5,22.5,8.5,8,83,83,medium,,True
django__django-13112,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,12,13,23,21,6,8,83,83,high,,False
django__django-13112,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,13,11,20,22,8,8,82,82,medium,,True
django__django-13112,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,13.0,14.0,20.0,20.5,8.0,7.5,83.0,83.0,high,,True
django__django-13112,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,4,4,7,2,5,7,29,29,low,NO_BASELINE;WRONG_LAYER,False
django__django-13112,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,5.5,6.0,8.0,8.0,6.0,7.0,40.5,40.5,medium,NO_BASELINE;NO_POST_FIX_TEST;PATCH_MISMATCH,True
