instance,submission,model_name,A,B,C,D,E,F,raw_total,total_score,evidence_confidence,caps_or_flags,resolved
django__django-13112,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,8.0,10.0,14.0,5.0,7.0,6.0,50.0,50.0,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-13112,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,14,15,24,24,10,10,97,97,high,,True
django__django-13112,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,14,14,23,22,9,9,91,91,high,,True
django__django-13112,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,10,12,18,12,9,10,71,71,medium,NO_BASELINE,True
django__django-13315,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,12,14,23,18,8,9,84,84,high,,True
django__django-13315,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,13,22,20,8,8,83,83,high,,True
django__django-13315,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,8.0,10.0,16.0,8.0,7.0,8.0,57.0,57.0,medium,NO_BASELINE,False
django__django-13315,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,10,12,20,18,7,9,76,76,high,,True
django__django-13315,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,11,13,20,16,7,9,76,76,high,,True
django__django-13315,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12,12,21,18,10,10,83,83,high,,True
django__django-13315,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,6.0,7.0,12.0,0.0,5.0,6.0,36.0,36.0,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-13315,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,9,10,20,12,7,9,67,67,medium,NO_BASELINE,True
django__django-13315,20260217_mini-v2.0.0_minimax-2-5-high,minimax/minimax-m2.5,13,13,22.5,22,8.5,9.5,88.5,88.5,high,,True
django__django-13315,20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash-fair,12,13,21,18,9,9,82,82,high,,True
django__django-13406,20260217_mini-v2.0.0_claude-4-5-opus-high,anthropic/claude-opus-4-5-20251101,11.0,12.0,17.0,16.0,8.0,9.0,73.0,73.0,high,,True
django__django-13406,20260217_mini-v2.0.0_claude-4-5-sonnet-high,anthropic/claude-sonnet-4-5-20250929,12,14,21,18,7,8,80,80,high,,False
django__django-13406,20260217_mini-v2.0.0_claude-4-6-opus,anthropic/claude-opus-4-6,10,10,14,12,9,8,63,63,medium,MAIN_CASE_ONLY,True
django__django-13406,20260217_mini-v2.0.0_gemini-3-flash-high,gemini/gemini-3-flash-preview,15,15,25,25,10,10,100,100,high,,False
django__django-13406,20260217_mini-v2.0.0_glm-5-high,z-ai/glm-5,10,12,16,10,4,8,60,60,medium,NO_BASELINE;NO_POST_FIX_TEST,False
django__django-13406,20260217_mini-v2.0.0_gpt-5-2-high,openai/gpt-5.2-2025-12-11,12.0,13.0,20.0,14.0,8.0,9.0,76.0,76.0,high,NO_BASELINE,False
django__django-13406,20260217_mini-v2.0.0_gpt-5-mini,openai/gpt-5-mini,7,9,12,3,6,3,40,40,high,NO_BASELINE;NO_POST_FIX_TEST;PATCH_MISMATCH,False
django__django-13406,20260217_mini-v2.0.0_kimi-k2-5-high,moonshotai/kimi-k2.5,11,11,14,12,7,7,62,62,high,KNOWN_COUNTEREXAMPLE,True
